question,answer,keywords
"Starting at time 𝑡𝑡 = 0 from the origin with speed 1 ms−1, a particle follows a two-dimensional trajectory in the x-y plane so that its coordinates are related by the equation 𝑦𝑦 = 2 x 2 . The x and y components of its acceleration are denoted by 𝑎𝑎𝑥𝑥 and 𝑎𝑎𝑦𝑦, respectively. Then","Starting at time 𝑡𝑡 = 0 from the origin with speed 1 ms−1, a particle follows a two-dimensional trajectory in the x-y plane so that its coordinates are related by the equation 𝑦𝑦 = 2 x 2 . The x and y components of its acceleration are denoted by 𝑎𝑎𝑥𝑥 and 𝑎𝑎𝑦𝑦, respectively. Then (A) 𝑎𝑎𝑥𝑥 = 1 ms−2 implies that when the particle is at the origin, 𝑎𝑎𝑦𝑦 = 1 ms−2 (B) 𝑎𝑎𝑥𝑥 = 0 implies 𝑎𝑎𝑦𝑦 = 1 ms−2 at all times (C) at 𝑡𝑡 = 0, the particle’s velocity points in the 𝑥𝑥-direction [JEE(Advanced) 2020] (D) 𝑎𝑎𝑥𝑥 = 0 implies that at 𝑡𝑡 = 1 s, the angle between the particle’s velocity and the 𝑥𝑥 axis is 45°",mechanics dimensional analysis
"A ball is thrown from ground at an angle θ with horizontal and with an initial speed u0. For the resulting projectile motion, the magnitude of average velocity of the ball up to the point when it hits the ground for the first time is V1. After hitting the ground, ball rebounds at the same angle θ but with a reduced speed of u0/α. Its motion continues for a long time as shown in figure. If the magnitude of average velocity of the ball for entire duration of motion is 0.8 V1, the value of α is______.",(4.00) Sol. v Totaldisplacement Averagevelocity Total time < > = Total time taken = t1 + t2 + t3 + .............. = 1 1 1 2 t t t + +α α + .......... Total time = 1 t 1 1−α Total displacement = v1t1 + v2t2 +........... = 1 1 1 1 v t vt . .......... + + α α = 1 1 2 vt 1 1−α On solving <v> = 1 1 v 0.8v 1 α = α+ 4.00 α=,mechanics projectile_motion
"A ball is projected from the ground at an angle of 45° with the horizontal surface. It reaches a maximum height of 120 m and returns to the ground. Upon hitting the ground for the first time, it loses half of its kinetic energy. Immediately after the bounce, the velocity of the ball makes an angle of 30° with the horizontal surface. The maximum height it reaches after the bounce, in metres, is______.",(30.00) Sol. H1 =120m H2 2 2 1 u sin 45 H 120 2g = =   5 ⇒ 2u 120 4g= ....(i) when half of kinetic energy is lost v = u 2 2 2 2 2 u sin 30 u 2 H 2g 16g       = = ....(ii) from (i) & (ii) 1 2 H H 4 = = 30 m on 30.00,mechanics energy
Consider an expanding sphere of instantaneous radius R whose total mass remains constant. The expansion is such that the instantaneous density ρ remains uniform throughout the volume. The rate of fractional change in density  ρ 1d dt   ρ is constant. The velocity v of any point on the surface of the   expanding sphere is proportional to :,. (C) Sol. Density of sphere is ρ= = π 3 m 3m v 4R ρ ⇒ =− ρ 1d 3dR dt Rdt Since ρ ⇒ρ 1d dt is constant ∴ ∝ dR R dt Velocity of any point on the circumfrence V is equal to dR dt (rate of change of radius of outer layer).,mechanics fluid mechanics
"A rocket is moving in a gravity free space with a constant acceleration of 2 ms–2 along +x direction (see figure). The length of a chamber inside the rocket is 4m. A ball is thrown from the left end of the chamber in +x direction with a speed of 0.3 ms–1 relative to the rocket. At the same time, another ball is thrown in –x direction with a speed of 0.2 ms–1 from its right end relative to the rocket. The time in seconds when the two balls hit each other is",". (2 or 8) Sol. Assuming open chamber 0.3 ms–1 0.2 ms–1 a = 2ms–2 Vrelative = 0.5 m/s Srelative = 4m time = 4 0.5 = 8 m/s Alternate Assuming closed chamber In the frame of chamber : –2 –1 –1 –2 Maximum displacement of ball A from its left end is ( ) ( ) 2 2 A u 0.3 2a 22 = = 0.0225 m This is negligible with respect to the length of chamber i.e. 4m. So, the collision will be very close to the left end. Hence, time taken by ball B to reach left end will be given by S = uBt + 1 2 at2 4 = (0.2) (t) + 1 2 (2)(t)2 Solving this, we get t ≈ 2 s",mechanics
"A bar of mas M = 1.00 kg and length L = 0.20 m is lying on a horizontal frictionless surface. One end of the bar is pivoted at a point about which it is free to rotate. A small mass m = 0.10 kg is moving on the same horizontal surface with 5.00 m s−1 speed on a path perpendicular to the bar. It hits the bar at a distance L/2 from the pivoted end and returns back on the same path with speed v. After this elastic collision, the bar rotates with an angular velocity ω. Which of the following statement is correct ? [JEE(Advanced) 2023]","Sol. v u m M,L ω Applying angular momentum conservation about hinge 2 L L ML mv 0 mv 2 2 3 + =− + ω ….(i) Also from eq. of restitution L V L 2 e 1 u V u 2 ω + = = ⇒ =ω + ….(ii) Solving (i) & (ii) 6.98 ω≈ rad/sec & v = 4.30 m/s Hence option (A)",mechanics elastic conservation momentum
"An annular disk of mass M, inner radius a and outer radius b is placed on a horizontal surface with coefficient of friction µ, as shown in the figure. At some time, an impulse 0 ˆ J x is applied at a height h above the center of the disk. If h = hm then the disk rolls without slipping along the x-axis. Which of the following statement(s) is(are) correct ? [JEE(Advanced) 2023] J0 h z a b",". (A, B, C, D) Sol. J0 J0 = mv ....(1) J0hm = Icω ....(2) v = ωR ....(3) ⇒ C m I h mR = (A) If a = 0 2 c 1 I mb 2= & R = b ∴ m b h 2= (B) If a = b IC = mb2 & R = b ∴ hm = b (C) v = 0 J m ⇒ 100 = 0 J V R mR = (D) Force is acting on COM ∴ No rotation.",mechanics
"A thin circular coin of mass 5 gm and radius 4/3 cm is initially in a horizontal xy-plane. The coin is tossed vertically up (+𝑧𝑧 direction) by applying an impulse of 2 π–2 × 10 N-s at a distance 2/3 cm from its center. The coin spins about its diameter and moves along the +𝑧𝑧 direction. By the time the coin reaches back to its initial position, it completes 𝑛𝑛 rotations. The value of n is ____. [Given: The acceleration due to gravity g = 10 ms–2]",(30) Sol. R J r v ω J = mv ....(1) Jr = Icω ....(2) JC = 2 1mR 4 ....(3) 2v t g = ....(4) 2N t θ= π =ω ....(5) (∴ N = 30),mechanics
"At time t = 0, a disk of radius 1 m starts to roll without slipping on a horizontal plane with an angular acceleration of 2 3 α= rad s–2. A small stone is stuck to the disk. At t = 0, it is at the contact point of the disk and the plane. Later, at time t s = π , the stone detaches itself and flies off tangentially from the disk. The maximum height (in m) reached by the stone measured from the plane is 1 x 2 10 + . The value of x is ______. [Take g = 10 m s–2.]",". (0.48 - 0.56) Sol. θ θ R/2 ωR √cm At t = 0, ω = 0 at t= π, 2 2 t ,v r 3 3 ω=α= π =ω= π 2 1 t 2 θ= α 1 2 2 3 3 π θ= × ×π= θ = 60° h v 60° v θ y 3 v vsin60 V 2 = = 2 2 y 3 v u 4 h 2g 2g = = 3 4 4 9 h 2g × π = 3 h 9 2g 6g π π = = × Maximum height from plane, R H h 2 = + 1 H 2 6 10 π = + × x 6 π = ; x = 0.52",mechanics
"A solid sphere of mass 1 kg and radius 1 m rolls without slipping on a fixed inclined plane with an angle of inclination θ = 30° from the horizontal. Two forces of magnitude 1 N each, parallel to the incline, act on the sphere, both at distance r = 0.5 m from the center of the sphere, as shown in the figure. The acceleration of the sphere down the plane is______ms–2. (Take g = 10 ms–2 .)","(2.80 - 2.92) Sol. Solid sphere 1kg, 1m x 30° 5N 1N a f α 1N 5 + 1 – 1 – f = 1a 5 – f = a About COM f 1 – 2(1(0.5)) = 2 2Mr 5 α 2 2 f 1 a f 1 a 5 5 ⇒ − = ⇒ = + 2 5 a 1 a5 − = + 7a 4 5 ⇒ = 20 a 7 ⇒ = = 2.86 m/s2",mechanics
"A Hydrogen-like atom has atomic number Z. Photons emitted in the electronic transitions from level n = 4 to level n = 3 in these atoms are used to perform photoelectric effect experiment on a target metal. The maximum kinetic energy of the photoelectrons generated is 1.95 eV. If the photoelectric threshold wavelength for the target metal is 310 nm, the value of Z is _______. [Given: hc = 1240 eV-nm and Rhc = 13.6 eV, where R is the Rydberg constant, h is the Planck’s constant and c is the speed of light in vacuum]",. (3) Sol. n = 4 n = 3 –1.51Z2eV –0.85 Z2 eV E = E4 – E3 = 0.66 Z2 eV Kmax = E – W 0.66 Z2 1.95 + 4 = 5.95 2 hc 1240 W 0.66Z 1.95 310 = − = = λ ∴ Z = 3,mechanics electromagnetism optics waves modern physics energy
"List-I shows different radioactive decay processes and List-II provides possible emitted particles. Match each entry in List-I with an appropriate entry from List-II, and choose the correct option. [JEE(Advanced) 2023] List-I List-II (P) 238 234 92 91 U Pa → (1) one α particle and one β+ particle (Q) 214 210 82 82 Pb Pb → (2) three β– particles and one α particle (R) 210 206 81 82 Tl Pb → (3) two β– particles and one α particle (S) 228 224 91 88 Pa Ra → (4) one α particle and one β– particle (5) one α particle and two β+ particles",(A) Sol. 1 2 1 2 A A 4 0 0 Z Z 12 2 1 3 1 Z Y N He N e N e− → + + + Conservation of charge Z1 = Z2 + 2 N1 + N2 – N3 ....(i) Conservation of nucleons. A1 = A2 + 4N1 1 2 1 A A N 4 − = ....(ii) From (i) and (ii) 1 2 2 3 1 2 A A N N Z Z 2 −   − = − −    (P) 238 234 92 91 U Pa → 1 238 234 N 1 1 4 − = = →α ( ) 2 3 4 N N 92 91 1 1 2 −   − = − − =−→β     (Q) 214 210 82 82 Pb Pb → 1 214 210 N 1 1 4 − = = →α ( ) 2 3 4 N N 82 82 2 2 2 −   − = − − =−→β     (R) 210 206 81 82 T Pb →  1 210 206 N 1 1 4 − = = →α ( ) 2 3 4 N N 81 83 3 3 2 − − = − − =−→β (S) 228 224 91 88 Pa Ra → 1 228 224 N 1 4 − = =α ( ) 2 3 4 N N 91 88 1 2 + − = − − = β,electromagnetism modern physics conservation
"In a radioactive decay process, the activity is defined as dN A=–dt , where N(t) is the number of radioactive nuclei at time t. Two radioactive sources, S1 and S2 have same activity at time t = 0. At a later time, the activities of S1 and S2 are A1 and A2, respectively. When S1 and S2 have just completed their 3rd and 7th half-lives, respectively, the ratio A1 /A2 is __________.",ns. (16) Sol. 1 2 0 0 1 2 S S t 0 A A t A A = =τ ( ) ( ) ( ) ( ) ( ) ( ) 1/2 1 1/2 2 t/ t 3 4 0 1 7 t/ t 2 0 A 0.5 A 0.5 2 16 A 0.5 A 0.5 = = = =,modern physics
"The minimum kinetic energy needed by an alpha particle to cause the nuclear reaction 16 4 1 19 7 2 1 8 N He H O + → + in a laboratory frame is n (in MeV). Assume that 16 7 N is at rest in the laboratory frame. The masses of 16 4 1 7 2 1 N, He, H and 19 8 Ocan be taken to be 16.006 u, 4.003 u, 1.008 u and 19.003 u, respectively, where 1 u = 930 MeVc–2. The value of n is_________.",", B, D) Sol. Binding energy of proton & neutron due to nuclear force is same. So difference in binding energy is only due to electrostatic P.E. and it is positive P n 0 0 E E− = electrostatic P.E. = Z × P.E. of one proton ( ) 2 0 1 Z–1e Z 4 R = × πε Where R = R0 A1/3 ( ) 2 1 0 3",mechanics modern physics energy
"n a radioactive decay chain reaction, 230 90 Th nucleus decays into 214 84 Po nucleus. The ratio of the number of α to number of β– particles emitted in this process is_________.",(2) Sol. 230 214 4 0 90 84 2 1 Th Po n m − → + α + β 230 = 214 + 4n 16 n 4 4 = = 90 = 84 + n × 2 – m × 1 90 = 84 + 4 × 2 – m × 1 m = 92 – 90 = 2 Hence n 4 2 m 2= =,modern physics
"One mole of an ideal gas expands adiabatically from an initial state (TA, V0) to final state (Tf, 5𝑉𝑉0). Another mole of the same gas expands isothermally from a different initial state (TB, V0) to the same final state (Tf, 5V0). The ratio of the specific heats at constant pressure and constant volume of this ideal gas is γ. What is the ratio TA /TB? [JEE(Advanced) 2023]","(A) Sol. (TA , 5V0 ) P (Tf , 5V0 ) V (TB , 5V0 ) 1 1 A 0 f 0 TV T(5V) γ− γ− = 1 A A f B T T 5 T T γ− = =",thermodynamics fluid mechanics ideal_gas
"A closed container contains a homogeneous mixture of two moles of an ideal monatomic gas (γ = 5/3) and one mole of an ideal diatomic gas (γ = 7/5). Here, γ is the ratio of the specific heats at constant pressure and constant volume of an ideal gas. The gas mixture does a work of 66 Joule when heated at constant pressure. The change in its internal energy is ________ Joule.",(121) Sol. At constant pressure W = nR∆T = 66 ∆U = n(CV)mix∆T ( ) 1 2 1 V 2 V V mix 1 2 nC nC C n n + = + ( )V mix 3 5 2 R 1 R 2 2 C 3 × + × = ( )V mix 11 C R6 = ( ) 11 U nRT 6 ∆ = ∆ 11 U 66 121J 6 ∆ = × =,mechanics thermodynamics modern physics fluid mechanics energy ideal_gas
"A small object is placed at the center of a large evacuated hollow spherical container. Assume that the container is maintained at 0 K. At time t = 0, the temperature of the object is 200 K. The temperature of the object becomes 100 K at t = t1 and 50 K at t = t2. Assume the object and the container to be ideal black bodies. The heat capacity of the object does not depend on temperature. The ratio (t2/t1) is_______.",(9) Sol. 4 dT AT ms dt σ =− 1t 100 4 200 0 dT kdt T = ∫ ∫ 100 1 3 200 1 kt 3T = 1 3 3 1 1 1 kt 3 100 200   − =     50 2 3 200 1 kt 3T = 2 3 3 1 1 1 kt 3 50 200   − =     3 3 3 2 3 3 3 1 t 200 50 100 9 t 200 100 50   − = =   −  ,thermodynamics
What is TiDB?,TiDB is an open-source distributed SQL database that supports Hybrid Transactional and Analytical Processing (HTAP) workloads. It is MySQL compatible and features horizontal scalability and strong consistency.,tidb database sql distributed htap
How does B+ tree indexing work?,B+ tree indexing is a self-balancing tree data structure that maintains sorted data and allows searches in logarithmic time. All data records are stored in leaf nodes while internal nodes only store key values. This structure optimizes for range queries and disk access patterns.,b+ tree index algorithm database search
